rajeev,93242392392,"my daughter is in trouble.
",,Not provided in the text.,Rajeev's daughter is in trouble.
rajeev,93242392392,"i got hit by car
",,,
rajeev,93242392392,"i got hit by car.
",Road accident,"The user's location is 18.5196, 73.8554. It is important to note that this location may not necessarily be the location of the accident. Depending on the context, it could be the user's home, workplace, or any other location. The user query does not provide sufficient information to determine the location of the accident.","The user ""rajeev"" has been involved in a road accident. The query does not provide any further details about the accident, such as the number of vehicles involved, the extent of injuries, or the condition of the involved parties."
rajeev,93242392392,"i got hit by car.
",Road accident,"The user's location is 18.5196, 73.8554. It is important to note that this location may not necessarily be the location of the accident. Depending on the context, it could be the user's home, workplace, or any other location. The user query does not provide sufficient information to determine the location of the accident.","The user ""rajeev"" has been involved in a road accident. The query does not provide any further details about the accident, such as the number of vehicles involved, the extent of injuries, or the condition of the involved parties."
nitish.,9304344919,i met with an accident.,Road accident,"(18.5196, 73.8554)",User 'nitish.' reported an accident.
nitish.,9304344919,i met with an accident.,road accident,rajiv chowk.,today.,yes.,yes.,yes.
nitish.,9304344919,my daughter is in trouble.,Women help desk,"The user location is not explicitly mentioned in the query, but it is provided in the metadata.","The user is expressing concern for their daughter, indicating a potential need for assistance or help. This type of query is typically associated with a Women's help desk category, as it may involve issues related to domestic violence, child safety, or other women-specific concerns."
nitin.,23490092034,"My son, who is 8 years old, hasn't returned from the park since this afternoon. He was wearing a red t-shirt and blue shorts.",Child safety,"""18.5196, 73.8554""",
aryan ,9304344919,my chipmonk account has been hacked.,Cyber crime incident,Not provided in the query,The user mentioned that their Chipmonk account has been hacked.
aryan ,9304344919,my chipmonk account has been hacked.,Cyber crime incident,Not provided in the query,The user mentioned that their Chipmonk account has been hacked.
aryan ,9304344919,my chipmonk account has been hacked near rajiv chowk.,Cyber crime incident,Rajiv Chowk,"account hacked, Chipmonk account."
avengers,93242392392,my chipmonk account has been hacked.,Cyber crime incident,Not provided in the query,The user has reported that their Chipmonk account has been hacked.
avengers,93242392392,there is a outbreak of food poisoning in local school near me.,Public healthcare,"""local school""","""outbreak of food poisoning""."
